supplier_item_id,supplier_id,name_raw,name_norm,super_class_db,super_class_runtime,sc_confidence,brand_id_db,brand_from_text,pack_db,pack_runtime,price,data_issues
a4bdbce4-89a8-413c-a2b8-decfd9f71958,2204f0f3-4c5e-4992-a6fd-47f941f8e7ad,"Зеленые соевые бобы Эдамаме ""ESORO"" в стручке (0,500 кг) упак. . Китай",зеленые соевые бобы эдамаме esoro стручке китай,other,,0.16,,,0.5,0.5,185.28,SUPER_CLASS_OTHER|NO_BRAND
c08429aa-6314-49f3-8e5e-5d91347a35f1,2204f0f3-4c5e-4992-a6fd-47f941f8e7ad,Кукуруза мини (целая) 10кг/упак Qingdao Mingsheng Китай,кукуруза мини целая qingdao mingsheng китай,canned.кукуруза.консервированная,,0.2,,,10.0,10.0,3430.0,NO_BRAND
6b23a016-9ae6-4de1-8aa0-2816a97bd9c0,2204f0f3-4c5e-4992-a6fd-47f941f8e7ad,Шпинат листовой с/м упак. 10 кг Китай,шпинат листовой китай,other,,0.19,,,10.0,10.0,2245.25,SUPER_CLASS_OTHER|NO_BRAND
18566cdb-1e7b-4fa5-aae8-3f13231c0d69,2204f0f3-4c5e-4992-a6fd-47f941f8e7ad,"Фасоль зеленая тонкая целая готовая к уп. Бондюэль (2,500 кг) упак. Франция",фасоль зеленая тонкая целая готовая уп бондюэль франция,staples.фасоль,staples.фасоль,0.53,,,2.5,2.5,1188.65,NO_BRAND
600e8600-f939-4f38-96ae-2070bb7ca176,2204f0f3-4c5e-4992-a6fd-47f941f8e7ad,"Горошек зеленый нежный Бондюэль с/м (2,500 кг)",горошек зеленый нежный бондюэль,canned.горошек.зеленый,canned.горошек.зеленый,0.53,,,2.5,2.5,703.59,NO_BRAND
881c9eaf-4436-4516-82d7-6e10e32f254a,2204f0f3-4c5e-4992-a6fd-47f941f8e7ad,"Фасоль зеленая резаная тонкая Бондюэль б/з (2,500 кг)",фасоль зеленая резаная тонкая бондюэль,staples.фасоль,staples.фасоль,0.65,,,2.5,2.5,707.34,NO_BRAND
dbe61919-5f36-439b-886f-2f1e1c331f39,2204f0f3-4c5e-4992-a6fd-47f941f8e7ad,"Смесь овощное трио гриль б/з 2,500кг ТМ Bonduelle Франция",смесь овощное трио гриль тм bonduelle франция,other,,0.17,,,2.5,2.5,1508.46,SUPER_CLASS_OTHER|NO_BRAND
b906bf3f-2d92-4b0d-b117-9c78b0fc8d41,2204f0f3-4c5e-4992-a6fd-47f941f8e7ad,"Компотная смесь №18 (слива с/к, клубника, черноплодная рябина) 10кг/упак",компотная смесь 18 слива клубника черноплодная рябина,fruits.клубника,fruits.клубника,0.52,,,10.0,10.0,1925.0,NO_BRAND
53b3a036-7ac4-4d54-8292-f48520481892,2204f0f3-4c5e-4992-a6fd-47f941f8e7ad,Яблоки кубик б/з 10кг/упак RITUNE Китай,яблоки кубик ritune китай,fruits.apple,,0.14,,,10.0,10.0,2850.0,NO_BRAND
281c9358-ca3a-4755-b264-5acdee308c99,2204f0f3-4c5e-4992-a6fd-47f941f8e7ad,Красная смородина б/з 10 кг/упак RITUNE,красная смородина ritune,fruits.смородина,fruits.смородина,0.46,,,10.0,10.0,3212.5,NO_BRAND
b271898b-1723-4cc6-ab69-c6139bf8065e,2204f0f3-4c5e-4992-a6fd-47f941f8e7ad,Черная смородина б/з 10кг/упак RITUNE Китай,черная смородина ritune китай,fruits.смородина,,0.29,,,10.0,10.0,6812.5,NO_BRAND
040c13e4-a5aa-4659-a90e-3449f43c32cd,2204f0f3-4c5e-4992-a6fd-47f941f8e7ad,Крыжовник б/з 10 кг/упак Ritune Китай,крыжовник ritune китай,other,,0.18,,,10.0,10.0,2912.5,SUPER_CLASS_OTHER|NO_BRAND
91035743-d18d-4e76-a624-8fdd7a593b50,2204f0f3-4c5e-4992-a6fd-47f941f8e7ad,Вишня б/к б/з 12 кг/упак Киргизия,вишня киргизия,other,,0.27,,,12.0,12.0,7418.75,SUPER_CLASS_OTHER|NO_BRAND
f3e21906-5d1a-4667-9154-2567412e1125,2204f0f3-4c5e-4992-a6fd-47f941f8e7ad,Клюква дикорастущая с/м упак. 15 кг,клюква дикорастущая,fruits.клюква,fruits.клюква,0.88,,,15.0,15.0,7492.05,NO_BRAND
614afb08-5698-4b8d-ada3-b37f873b8e3c,2204f0f3-4c5e-4992-a6fd-47f941f8e7ad,Манго кубик 10кг/упак Hebei Китай,манго кубик hebei китай,fruits.манго,,0.2,,,10.0,10.0,2575.0,NO_BRAND
2acd14d8-15be-487b-86ad-4fd00696928b,2204f0f3-4c5e-4992-a6fd-47f941f8e7ad,Ананас кубик б/з 10кг/упак Hebei Китай,ананас кубик hebei китай,fruits.ананас,,0.14,,,10.0,10.0,3062.5,NO_BRAND
c04ccce8-d925-4907-819d-6ce849165a0f,2204f0f3-4c5e-4992-a6fd-47f941f8e7ad,Клюква садовая упак. 10 кг Россия,клюква садовая россия,fruits.клюква,,0.16,,,10.0,10.0,3657.2,NO_BRAND
3cf26c03-7da5-425c-8046-ff07b66fef45,2204f0f3-4c5e-4992-a6fd-47f941f8e7ad,Клубника А класс с/м 10 кг/упак AGRO GREEN Египет,клубника класс agro green египет,fruits.клубника,fruits.клубника,0.5,,,10.0,10.0,2012.5,NO_BRAND
54003c17-516a-4b5f-8fb3-f8ba46c2d62f,2204f0f3-4c5e-4992-a6fd-47f941f8e7ad,Рябина черноплодная б/з 10кг/упак Кантарелла,рябина черноплодная кантарелла,other,fruits.клубника,0.5,,,10.0,10.0,2400.0,SUPER_CLASS_OTHER|NO_BRAND
143bbdaf-f807-434a-beda-be640c655504,2204f0f3-4c5e-4992-a6fd-47f941f8e7ad,Клюква б/з 10кг/упак Fine Food Gida Турция,клюква fine food gida турция,fruits.клюква,,0.23,,,10.0,10.0,4250.0,NO_BRAND
987db894-22c0-461d-bf70-17021f6ba9fe,2204f0f3-4c5e-4992-a6fd-47f941f8e7ad,Облепиха с/м кор. 10 кг Китай,облепиха китай,other,,0.19,,,10.0,10.0,2101.5,SUPER_CLASS_OTHER|NO_BRAND
